Name,FGL ID,MLB ID,Team,Position,IN_HOF
King Kelly,1006806,116953,San Francisco Giants,RF,Yes
Art Fletcher,1004149,114232,Philadelphia Phillies,SS,No
Gene Tenace,1012911,123183,Pittsburgh Pirates,C,No
Bert Campaneris,1001868,111916,New York Yankees,SS,No
Hughie Jennings,1006396,116528,Detroit Tigers,SS,Yes
Kirby Puckett,1010557,120790,Minnesota Twins,CF,Yes
Bill Freehan,1004315,114399,Detroit Tigers,C,No
George Van Haltren,1013357,123646,San Francisco Giants,CF,No
Ellis Burks,372,111736,Boston Red Sox,CF,No
Jorge Posada,841,120691,New York Yankees,C,No
Mark Teixeira,1281,407893,New York Yankees,1B,No
Ken Singleton,1012011,122272,Baltimore Orioles,OF,No
Dale Murphy,1009355,119545,Colorado Rockies,CF,No
Paul Hines,1005845,115966,Atlanta Braves,CF,No
Johnny Damon,185,113028,Cleveland Indians,CF,No
Jim Fregosi,1004330,114414,Pittsburgh Pirates,SS,No
Carlos Delgado,1297,113232,New York Mets,1B,No
Sam Thompson,1013024,123303,Detroit Tigers,OF,Yes
Dolph Camilli,1001860,111905,Boston Red Sox,1B,No
Buddy Myer,1009415,119613,Minnesota Twins,2B,No
Ben Zobrist,7435,450314,Chicago Cubs,RF,No
Mike Tiernan,1013062,123337,San Francisco Giants,OF,No
Bobby Veach,1013388,123681,Minnesota Twins,OF,No
Hardy Richardson,1010909,121153,San Francisco Giants,2B,No
Tony Fernandez,1004002,114079,Toronto Blue Jays,SS,No
Al Oliver,1009773,119983,Toronto Blue Jays,CF,No
Lance Parrish,1010021,120248,Toronto Blue Jays,C,No
Augie Galan,1004440,114525,Oakland Athletics,LF,No
Jake Daubert,1003005,113069,Cincinnati Reds,1B,No
Lou Brock,1001458,111495,St. Louis Cardinals,LF,Yes
Heinie Manush,1008089,118265,Pittsburgh Pirates,LF,Yes
George Gore,1004879,114972,St. Louis Cardinals,CF,No
Chuck Klein,1006991,117141,Philadelphia Phillies,RF,Yes
Babe Herman,1005691,115808,Los Angeles Dodgers,RF,No
Wally Berger,1000875,110904,Philadelphia Phillies,CF,No
Torii Hunter,731,116338,Minnesota Twins,CF,No
Rabbit Maranville,1008099,118276,Atlanta Braves,SS,Yes
Omar Vizquel,411,123744,Toronto Blue Jays,SS,No
Brett Butler,1001772,111812,Los Angeles Dodgers,CF,No
Jack Fournier,1004264,114343,Atlanta Braves,1B,No
Jose Canseco,1001918,111962,New York Yankees,RF,No
Gil Hodges,1005883,116008,New York Mets,1B,No
Hack Wilson,1014083,124412,Philadelphia Phillies,OF,Yes
Julio Franco,87,212297,Atlanta Braves,SS,No
Ernie Lombardi,1007718,117880,San Francisco Giants,C,Yes
Andy Van Slyke,1013363,123653,Philadelphia Phillies,CF,No
Hanley Ramirez,8001,434670,Cleveland Indians,1B,No
Devon White,1013862,124164,Milwaukee Brewers,CF,No
Davey Lopes,1007750,117912,Houston Astros,2B,No
Darryl Strawberry,1012606,122864,New York Yankees,OF,No
Nomar Garciaparra,190,114596,Oakland Athletics,SS,No
Roger Peckinpaugh,1010116,120344,Chicago White Sox,SS,No
Ben Chapman,1002141,112205,Philadelphia Phillies,CF,No
Earle Combs,1002478,112533,New York Yankees,CF,Yes
Phil Rizzuto,1011011,121257,New York Yankees,SS,Yes
Carl Crawford,1201,408307,Los Angeles Dodgers,LF,No
Dave Parker,1010000,120225,Toronto Blue Jays,RF,No
Deacon White,1013860,124175,Pittsburgh Pirates,3B,Yes
Tony Gwynn,1005166,115270,San Diego Padres,RF,Yes
