id,season,war
1013133,1976,1.5
1013133,1977,-0.6
1007259,1896,0.8
1007259,1897,5.2
1007259,1898,3.6
1007259,1899,3.9
1007259,1900,4.2
1007259,1901,8.9
1007259,1902,5.3
1007259,1903,7.6
1007259,1904,8.8
1007259,1905,2.9
1007259,1906,9.4
1007259,1907,7.0
1007259,1908,7.0
1007259,1909,6.0
1007259,1910,9.3
1007259,1911,2.5
1007259,1912,4.5
1007259,1913,4.7
1007259,1914,-0.2
1007259,1915,1.1
1007259,1916,-0.4
1007872,1974,0.8
1007872,1975,7.1
1007872,1976,3.9
1007872,1977,1.6
1007872,1978,4.2
1007872,1979,8.6
1007872,1980,4.6
1007872,1981,0.1
1007872,1982,4.6
1007872,1983,1.7
1007872,1984,3.9
1007872,1985,1.8
1007872,1986,2.9
1007872,1987,0.8
1007872,1988,2.6
1007872,1989,0.6
1007872,1990,-0.5
731,1997,0.0
731,1998,-0.5
731,1999,0.1
731,2000,-0.1
731,2001,4.2
731,2002,4.2
731,2003,3.5
731,2004,2.6
731,2005,2.4
731,2006,2.3
731,2007,3.2
731,2008,2.4
731,2009,3.9
731,2010,3.2
731,2011,2.0
731,2012,4.7
731,2013,3.1
731,2014,1.1
731,2015,0.7
3410,2007,2.5
3410,2008,4.5
3410,2009,5.0
3410,2010,3.7
3410,2011,7.1
3410,2012,6.8
3410,2013,1.6
3410,2014,1.1
3410,2015,3.2
3410,2016,3.3
3410,2017,1.6
3410,2018,1.3
3410,2019,0.5
55,1990,-0.1
55,1991,3.4
55,1992,2.0
55,1993,5.4
55,1994,1.7
55,1995,2.4
55,1996,2.7
55,1997,2.3
55,1998,1.7
55,1999,6.6
55,2000,4.7
55,2001,8.9
55,2002,5.2
55,2003,3.8
55,2004,1.0
55,2005,2.6
55,2006,0.9
55,2007,0.6
55,2008,-0.8
1001772,1981,0.5
1001772,1982,-1.2
1001772,1983,2.7
1001772,1984,2.8
1001772,1985,3.8
1001772,1986,2.5
1001772,1987,3.9
1001772,1988,5.8
1001772,1989,2.0
1001772,1990,4.6
1001772,1991,4.7
1001772,1992,4.6
1001772,1993,1.8
1001772,1994,3.3
1001772,1995,0.9
1001772,1996,-0.3
1001772,1997,-0.2
818,1995,0.7
818,1996,1.2
818,1997,1.7
818,1998,2.6
818,1999,5.2
818,2000,7.7
818,2001,9.2
818,2002,6.6
818,2003,5.0
818,2004,0.0
818,2005,4.2
818,2006,3.0
818,2007,0.7
818,2008,2.4
818,2009,0.0
818,2010,-0.1
818,2011,1.1
818,2012,-0.3
818,2013,-0.7
818,2014,-0.5
1004874,1938,3.8
1004874,1939,6.6
1004874,1940,6.1
1004874,1941,5.9
1004874,1942,8.8
1004874,1943,6.8
1004874,1946,2.1
1004874,1947,6.9
1004874,1948,7.1
1004874,1949,4.5
1004874,1950,2.0
1009179,1963,0.0
1009179,1964,-0.2
1009179,1965,5.1
1009179,1966,3.3
1009179,1967,4.5
1009179,1968,0.2
1009179,1969,3.5
1009179,1970,3.5
1009179,1971,5.4
